	#%Freq (Hz)	%Mic/Source_Real	%Mic/Source_Imag
41.500000000000014E+0	10.238538920343460E-3	-2.597160347784242E-3
42.000000000000014E+0	9.820393939475817E-3	-3.886798454693599E-3
42.500000000000014E+0	8.538230716735595E-3	-4.356964097445067E-3
43.000000000000014E+0	7.788883421779010E-3	-3.598455046158339E-3
43.500000000000014E+0	8.045921854012069E-3	-3.044215936451617E-3
44.000000000000014E+0	8.230727045382117E-3	-2.963082858066362E-3
44.500000000000014E+0	8.554221740688966E-3	-2.791282157455735E-3
45.000000000000014E+0	8.959784116459141E-3	-2.830717287576102E-3
45.500000000000014E+0	9.153576435023368E-3	-2.784020161879936E-3
46.000000000000014E+0	9.444720013743494E-3	-2.808179286826215E-3
46.500000000000014E+0	9.719847774674786E-3	-2.936071524494519E-3
47.000000000000014E+0	9.932308459964770E-3	-3.193336329462347E-3
47.500000000000014E+0	10.318001798590305E-3	-3.289917981350051E-3
48.000000000000014E+0	10.701433025356529E-3	-3.411972190781941E-3
48.500000000000014E+0	10.977359373402719E-3	-3.672756303114982E-3
49.000000000000014E+0	11.497631032238050E-3	-3.781854752789415E-3
49.500000000000014E+0	11.832975161908017E-3	-4.193568400458478E-3
50.000000000000014E+0	12.375863273644065E-3	-4.349965607281654E-3
50.500000000000014E+0	12.459573286290021E-3	-4.582282952761404E-3
51.000000000000014E+0	12.739442748955285E-3	-4.933380922531848E-3
51.500000000000014E+0	13.112400343903801E-3	-5.321823989932925E-3
52.000000000000014E+0	13.544405465019345E-3	-5.672087910992833E-3
52.500000000000014E+0	14.019662566178221E-3	-5.999748782406909E-3
53.000000000000014E+0	14.079985945238009E-3	-6.432275494418069E-3
53.500000000000014E+0	14.341561876544747E-3	-6.961128449651460E-3
54.000000000000014E+0	14.761846810795473E-3	-7.536953656329851E-3
54.500000000000014E+0	15.032262420025932E-3	-7.778018763000815E-3
55.000000000000014E+0	14.890754543667298E-3	-8.263883588325981E-3
55.500000000000014E+0	14.884942309697115E-3	-9.042075345339346E-3
56.000000000000014E+0	14.801111422166542E-3	-10.115225625798059E-3
56.500000000000014E+0	16.335043621633620E-3	-10.363973894472333E-3
